,company_name,average_salary,average_age,salary/age,銘柄名,市場・商品区分,33業種区分,17業種区分,かふか5分類,かふか4分類
6080,M&Aキャピタルパートナーズ,2478.0,32.4,189521.11111111112,Ｍ＆Ａキャピタルパートナーズ,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
6861,キーエンス,2279.0,35.8,145079.35754189946,キーエンス,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
9435,光通信,2101.0,42.5,103863.55294117647,光通信,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
3003,ヒューリック,1904.0,39.67,91384.32064532393,ヒューリック,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
8058,三菱商事,1939.0,42.9,87639.18414918415,三菱商事,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
4310,ドリームインキュベータ,1776.0,37.1,85018.22102425876,ドリームインキュベータ,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
8031,三井物産,1783.0,42.3,75155.76832151301,三井物産,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
3252,地主,1697.0,38.9,74031.07969151672,地主,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
8001,伊藤忠商事,1730.0,42.4,70587.2641509434,伊藤忠商事,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
6196,ストライク,1514.0,34.9,65678.96848137536,ストライク,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
6920,レーザーテック,1581.0,40.3,62023.846153846156,レーザーテック,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
9104,商船三井,1517.0,37.8,60880.66137566138,商船三井,プライム（内国株式）,海運業,運輸・物流,産業＆建設,サービス
8002,丸紅,1593.0,42.3,59991.70212765958,丸紅,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
8053,住友商事,1605.0,43.2,59630.20833333333,住友商事,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
3132,マクニカ,1719.0,49.6,59575.82661290323,マクニカホールディングス,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
3498,霞ヶ関キャピタル,1407.0,37.6,52650.23936170212,霞ヶ関キャピタル,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
