company,salary,overtime,salary_25_29,salary_30_34,salary_35_39,salary_40_44,salary_45_49,salary_50_54,salary_55_59,salary_60_up
株式会社ディスコ,760,37,697.0,697.0,,,787.0,,,
ソニーグループ株式会社,877,34,645.0,704.0,764.0,853.0,1304.0,939.0,1141.0,1224.0
ルネサスエレクトロニクス株式会社,728,34,631.0,529.0,638.0,740.0,722.0,863.0,778.0,767.0
三菱電機株式会社,670,36,606.0,644.0,765.0,785.0,,,,
オムロン株式会社,701,23,584.0,585.0,619.0,709.0,719.0,904.0,910.0,1098.0
旭化成株式会社,727,31,581.0,701.0,843.0,864.0,,,1119.0,
アプライドマテリアルズジャパン株式会社,666,36,581.0,636.0,525.0,854.0,915.0,,,
株式会社荏原製作所,594,31,541.0,595.0,615.0,,,,,
株式会社日立ハイテク,638,32,539.0,654.0,681.0,,,,,
日東電工株式会社,690,30,535.0,719.0,749.0,927.0,863.0,1040.0,,
信越化学工業株式会社,580,27,526.0,616.0,,,,,,
東京エレクトロン株式会社,940,38,524.0,707.0,780.0,,1056.0,,,
株式会社東京精密,568,40,524.0,578.0,,500.0,,,,
富士通株式会社,715,34,522.0,604.0,710.0,747.0,896.0,820.0,995.0,939.0
住友化学株式会社,649,25,518.0,650.0,853.0,709.0,584.0,,1043.0,
ダイトロン株式会社,535,25,513.0,540.0,,,,,,
イビデン株式会社,611,46,507.0,613.0,639.0,664.0,,810.0,,
浜松ホトニクス株式会社,562,22,505.0,550.0,602.0,,,,,
キヤノン株式会社,688,25,503.0,599.0,726.0,787.0,829.0,825.0,1059.0,
住友電気工業株式会社,643,26,497.0,644.0,809.0,817.0,,1085.0,,
富士電機株式会社,627,29,495.0,606.0,706.0,706.0,897.0,690.0,1026.0,850.0
パナソニックホールディングス株式会社,792,29,489.0,716.0,778.0,855.0,843.0,1086.0,936.0,1123.0
セイコーエプソン株式会社,619,26,486.0,574.0,729.0,762.0,811.0,733.0,723.0,693.0
住友ベークライト株式会社,664,24,484.0,542.0,614.0,769.0,,911.0,890.0,
大日本印刷株式会社,598,36,483.0,543.0,655.0,610.0,649.0,805.0,,825.0
ヤマハ発動機株式会社,582,27,483.0,546.0,612.0,815.0,,,,
京セラ株式会社,592,33,481.0,591.0,610.0,699.0,867.0,,,
日新電機株式会社,533,34,481.0,537.0,540.0,,,,,
東レエンジニアリング株式会社,624,26,475.0,,,,,,,
日本電気硝子株式会社,630,33,473.0,,,,,,,
日本特殊陶業株式会社,626,26,472.0,531.0,713.0,730.0,,974.0,943.0,
デンカ株式会社,541,23,471.0,597.0,,720.0,,,,
新光電気工業株式会社,547,36,469.0,521.0,,,,,,
豊田合成株式会社,548,27,463.0,488.0,629.0,687.0,802.0,,,
ヒロセ電機株式会社,489,29,463.0,468.0,623.0,,,,,
株式会社ニコン,697,23,458.0,630.0,743.0,765.0,859.0,,783.0,
サンケン電気株式会社,529,31,458.0,467.0,522.0,,,,,
株式会社アルバック,639,34,456.0,496.0,649.0,683.0,774.0,810.0,,
日本航空電子工業株式会社,521,29,455.0,523.0,700.0,622.0,,,,
古河電気工業株式会社,536,25,453.0,561.0,646.0,,,,725.0,
ローム株式会社,542,32,452.0,539.0,600.0,703.0,690.0,,,
アズビル株式会社,538,27,448.0,540.0,647.0,,,,,440.0
日本電子株式会社,537,21,448.0,440.0,,,,,,
スタンレー電気株式会社,560,28,442.0,528.0,599.0,688.0,738.0,,,
ミネベアミツミ株式会社,538,25,441.0,557.0,665.0,620.0,699.0,,,
芝浦メカトロニクス株式会社,524,45,440.0,510.0,,,,,,
アルプスアルパイン株式会社,511,24,438.0,505.0,595.0,606.0,614.0,,,
三菱マテリアル株式会社,547,26,437.0,590.0,613.0,,,,,
シチズン時計株式会社,515,21,432.0,517.0,555.0,,,,,
CKD株式会社,525,35,429.0,468.0,606.0,678.0,700.0,,,
アイカ工業株式会社,530,28,426.0,519.0,688.0,,,,,
マブチモーター株式会社,559,29,425.0,485.0,609.0,,,,,
日本ケミコン株式会社,477,17,423.0,472.0,,,,,,
シャープ株式会社,594,27,422.0,469.0,623.0,674.0,653.0,735.0,859.0,913.0
住友精密工業株式会社,479,32,419.0,518.0,,558.0,,,,
TOWA株式会社,526,38,411.0,,578.0,,,,,
日本板硝子株式会社,707,29,404.0,,,905.0,747.0,898.0,,906.0
ニチコン株式会社,431,26,399.0,,,,,,,
キヤノンアネルバ株式会社,519,33,381.0,,630.0,,,,,
キヤノンマシナリー株式会社,473,24,365.0,,,,,,,
株式会社高田工業所,367,40,359.0,382.0,450.0,,,,,
株式会社SCREENセミコンダクターソリューションズ,746,28,,658.0,,,,,,
ウシオ電機株式会社,704,28,,568.0,,738.0,733.0,,,
ホシデン株式会社,650,29,,,,,,740.0,,
株式会社ニューフレアテクノロジー,626,36,,530.0,,750.0,,,,
太陽誘電株式会社,470,33,,,507.0,,,,,
メイコー株式会社,---,--,,,,,,,,
ニデック株式会社,---,--,,,,,,,,
