company,salary,overtime,salary_25_29,salary_30_34,salary_35_39,salary_40_44,salary_45_49,salary_50_54,salary_55_59,salary_60_up
ゴールドマン・サックス証券,1497,66,1183.0,1739.0,,,1270.0,,,
A.T.カーニー,1047,65,1129.0,,,,,,,
三菱商事株式会社,1538,37,877.0,1281.0,1527.0,1508.0,,2033.0,1739.0,2676.0
三井物産株式会社,1385,34,782.0,1229.0,1271.0,,,1512.0,1953.0,1763.0
ソニーグループ株式会社,877,34,645.0,704.0,764.0,853.0,1304.0,939.0,1141.0,1224.0
三井不動産株式会社,846,37,640.0,856.0,,,,,,
日本アイ・ビー・エム,919,39,629.0,699.0,946.0,976.0,1057.0,1220.0,1193.0,1144.0
野村證券,769,32,616.0,731.0,1042.0,942.0,,,,
株式会社日立製作所,723,37,601.0,665.0,763.0,851.0,831.0,898.0,1136.0,
三菱総合研究所,786,61,594.0,746.0,,,,,,
日本政策投資銀行,861,35,592.0,,,,,,,
サントリーホールディングス,743,30,564.0,695.0,689.0,,,,950.0,750.0
楽天グループ株式会社,660,37,545.0,698.0,759.0,797.0,943.0,,,
東京海上日動火災保険,651,31,544.0,638.0,651.0,779.0,764.0,1051.0,,
三菱UFJ銀行,780,30,518.0,695.0,764.0,789.0,1053.0,1253.0,1182.0,
ソフトバンクグループ,581,37,512.0,683.0,673.0,700.0,,,,
三井住友信託銀行,659,39,498.0,781.0,776.0,905.0,,,,
JPモルガン証券,1147,61,,,,800.0,,,,
UBS証券株式会社,---,--,,,,,,,,
