company,salary,overtime,salary_25_29,salary_30_34,salary_35_39,salary_40_44,salary_45_49,salary_50_54,salary_55_59,salary_60_up
任天堂株式会社,1074,32,1228.0,,721.0,597.0,,,,
株式会社キーエンス,1205,56,976.0,1304.0,1473.0,1499.0,,,,
日本郵船株式会社,800,34,707.0,758.0,,,830.0,,,
中外製薬株式会社,1060,28,700.0,845.0,996.0,1126.0,1360.0,1312.0,,
ファナック株式会社,813,48,696.0,783.0,790.0,,,,,
川崎汽船株式会社,738,46,689.0,,,,,,,
株式会社電通グループ,937,51,681.0,955.0,1125.0,1130.0,,,,
エーザイ株式会社,861,37,673.0,717.0,940.0,876.0,,1060.0,,
トヨタ自動車株式会社,742,28,671.0,760.0,773.0,909.0,863.0,1266.0,,955.0
アステラス製薬株式会社,980,26,658.0,784.0,831.0,1001.0,1134.0,1383.0,1317.0,
武田薬品工業株式会社,1012,26,658.0,787.0,894.0,1056.0,1068.0,1335.0,1567.0,
ソニーグループ株式会社,877,34,645.0,704.0,764.0,853.0,1304.0,939.0,1141.0,1224.0
オリックス株式会社,839,32,644.0,991.0,804.0,1020.0,999.0,790.0,951.0,
三井不動産株式会社,846,37,640.0,856.0,,,,,,
株式会社商船三井,870,49,631.0,1008.0,,1040.0,,,,
ルネサスエレクトロニクス株式会社,728,34,631.0,529.0,638.0,740.0,722.0,863.0,778.0,767.0
エムスリー株式会社,704,45,629.0,689.0,857.0,,,,,
株式会社ディー・エヌ・エー,759,40,614.0,753.0,765.0,793.0,,,,
第一三共株式会社,817,30,613.0,755.0,843.0,969.0,,,1125.0,
株式会社メルカリ,655,22,609.0,590.0,723.0,,,,,
三菱電機株式会社,670,36,606.0,644.0,765.0,785.0,,,,
株式会社日立製作所,723,37,601.0,665.0,763.0,851.0,831.0,898.0,1136.0,
オムロン株式会社,701,23,584.0,585.0,619.0,709.0,719.0,904.0,910.0,1098.0
株式会社リクルートホールディングス,674,44,584.0,722.0,783.0,839.0,,,,
旭化成株式会社,727,31,581.0,701.0,843.0,864.0,,,1119.0,
住友ファーマ株式会社,720,22,577.0,666.0,826.0,863.0,,,,
株式会社サイバーエージェント,615,47,572.0,644.0,692.0,733.0,788.0,,,
出光興産株式会社,707,29,566.0,657.0,876.0,742.0,,,,
塩野義製薬株式会社,732,27,565.0,680.0,744.0,890.0,722.0,,,
ソフトバンク株式会社,660,33,559.0,621.0,689.0,730.0,781.0,,,
東京建物株式会社,818,30,558.0,,,,,,,
日本たばこ産業株式会社,776,22,556.0,700.0,808.0,,996.0,981.0,1054.0,
花王株式会社,645,27,555.0,628.0,750.0,699.0,,,967.0,767.0
三菱倉庫株式会社,645,33,553.0,,,,,,,
株式会社あおぞら銀行,712,28,551.0,682.0,806.0,1100.0,,870.0,900.0,
株式会社日清製粉グループ本社,623,39,551.0,,,,,,,
株式会社みずほフィナンシャルグループ,873,40,547.0,792.0,969.0,,,1038.0,1300.0,
楽天グループ株式会社,660,37,545.0,698.0,759.0,797.0,943.0,,,
味の素株式会社,753,26,544.0,686.0,822.0,925.0,1101.0,1113.0,,
協和キリン株式会社,829,27,541.0,740.0,744.0,690.0,,1158.0,1316.0,
三菱重工業株式会社,719,32,541.0,651.0,723.0,842.0,1031.0,1023.0,,
株式会社荏原製作所,594,31,541.0,595.0,615.0,,,,,
株式会社アドバンテスト,618,31,539.0,607.0,600.0,625.0,,,,710.0
オリンパス株式会社,740,25,537.0,677.0,752.0,808.0,890.0,1025.0,899.0,
株式会社ブリヂストン,699,31,537.0,598.0,732.0,806.0,1005.0,,,
株式会社ネクソン,568,21,537.0,523.0,573.0,,,,,
日東電工株式会社,690,30,535.0,719.0,749.0,927.0,863.0,1040.0,,
